epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,73028.5,0.67273,2.62974,0.91322,0.97117,0.95043,0.98361,0.88716,0.48552,1.31223,0.8101,0.00828443,0.00828443,0.00828443
43,3301.45,0.66443,2.58404,0.91067,0.97224,0.94989,0.98375,0.88771,0.48396,1.30333,0.80971,0.00820525,0.00820525,0.00820525
44,6617.25,0.67245,2.62452,0.91372,0.9721,0.94922,0.98362,0.88757,0.48414,1.30255,0.80985,0.00812468,0.00812468,0.00812468
45,9928.51,0.67209,2.62521,0.91335,0.97309,0.94847,0.9836,0.88798,0.48326,1.29987,0.8096,0.00804277,0.00804277,0.00804277
46,13249,0.6709,2.61665,0.91262,0.97131,0.95051,0.98366,0.88779,0.48366,1.29704,0.8095,0.00795954,0.00795954,0.00795954
47,16561.6,0.67078,2.61858,0.91273,0.9713,0.95055,0.98376,0.88767,0.48363,1.29664,0.80949,0.00787503,0.00787503,0.00787503
48,19880.5,0.67017,2.60513,0.91187,0.97364,0.94866,0.98373,0.88801,0.48309,1.29599,0.80919,0.00778929,0.00778929,0.00778929
49,23198.2,0.66895,2.6046,0.9122,0.96996,0.95143,0.98382,0.88845,0.48274,1.29397,0.80922,0.00770234,0.00770234,0.00770234
50,26523.1,0.66893,2.60515,0.91226,0.9711,0.95042,0.98382,0.88829,0.4826,1.29505,0.80902,0.00761423,0.00761423,0.00761423
51,29848.6,0.66812,2.59902,0.9118,0.97188,0.95015,0.98393,0.88863,0.48192,1.29367,0.80882,0.007525,0.007525,0.007525
52,33169.6,0.66821,2.59952,0.91196,0.97233,0.95034,0.98407,0.88894,0.48069,1.28891,0.80861,0.00743468,0.00743468,0.00743468
53,36489.7,0.66746,2.59249,0.9117,0.97115,0.9505,0.98395,0.88913,0.48086,1.2895,0.80863,0.00734332,0.00734332,0.00734332
54,39802.7,0.6651,2.58558,0.91039,0.97002,0.95192,0.98406,0.8894,0.48038,1.28755,0.80828,0.00725094,0.00725094,0.00725094
55,43130,0.66495,2.58624,0.91091,0.97071,0.95162,0.98412,0.88975,0.47992,1.28604,0.80809,0.00715761,0.00715761,0.00715761
56,46443.7,0.66404,2.57722,0.90936,0.96984,0.95194,0.98416,0.88954,0.47911,1.28403,0.80752,0.00706335,0.00706335,0.00706335
57,49759.5,0.66475,2.58283,0.91087,0.96939,0.9521,0.98424,0.89045,0.47856,1.27998,0.80759,0.0069682,0.0069682,0.0069682
58,53071.6,0.66279,2.56824,0.90939,0.97029,0.95125,0.98418,0.89066,0.4778,1.27946,0.80747,0.00687222,0.00687222,0.00687222
59,56377.1,0.66145,2.56438,0.90914,0.97131,0.95115,0.98417,0.89042,0.47717,1.27853,0.80711,0.00677543,0.00677543,0.00677543
60,59698.7,0.66126,2.5592,0.90936,0.97307,0.94917,0.98417,0.89085,0.47656,1.27791,0.80692,0.00667789,0.00667789,0.00667789
61,63023.1,0.65914,2.54878,0.90825,0.97133,0.95126,0.98431,0.89176,0.47515,1.27405,0.80652,0.00657963,0.00657963,0.00657963
62,66347.6,0.65796,2.54726,0.90809,0.9701,0.95223,0.98433,0.89159,0.47567,1.27228,0.80644,0.00648071,0.00648071,0.00648071
