epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3368.37,0.63423,2.52771,0.89922,0.95643,0.9493,0.98041,0.89542,0.44859,1.36543,0.80077,0.00828443,0.00828443,0.00828443
43,5062.12,0.63537,2.53689,0.89948,0.95892,0.94801,0.98036,0.8951,0.44773,1.36361,0.80038,0.00820525,0.00820525,0.00820525
44,6752.96,0.63564,2.53641,0.89978,0.95975,0.94743,0.98034,0.89553,0.44698,1.35982,0.80016,0.00812468,0.00812468,0.00812468
45,8448.98,0.63571,2.53985,0.9003,0.96059,0.94688,0.9805,0.89541,0.44687,1.36138,0.8001,0.00804277,0.00804277,0.00804277
46,10144.7,0.63428,2.52716,0.89899,0.96125,0.94527,0.98065,0.89577,0.44705,1.35942,0.8001,0.00795954,0.00795954,0.00795954
47,11839.3,0.63342,2.52512,0.89969,0.96158,0.94533,0.98067,0.89549,0.4475,1.35742,0.80023,0.00787503,0.00787503,0.00787503
48,13535.6,0.63134,2.51092,0.89846,0.96205,0.94597,0.98076,0.89567,0.4476,1.35732,0.8003,0.00778929,0.00778929,0.00778929
49,15233.3,0.63017,2.50505,0.89685,0.96218,0.94595,0.98085,0.89575,0.44734,1.35717,0.79999,0.00770234,0.00770234,0.00770234
50,16925.8,0.62902,2.50246,0.89703,0.96015,0.94823,0.98085,0.89602,0.4467,1.35754,0.79978,0.00761423,0.00761423,0.00761423
51,18627.3,0.62763,2.49014,0.89651,0.95827,0.949,0.98074,0.89614,0.44658,1.35871,0.79972,0.007525,0.007525,0.007525
52,20326.5,0.62733,2.48924,0.89695,0.95934,0.94908,0.98076,0.89601,0.44614,1.35646,0.7996,0.00743468,0.00743468,0.00743468
53,22015,0.62627,2.48323,0.89572,0.9587,0.95003,0.98085,0.89619,0.44565,1.3546,0.79937,0.00734332,0.00734332,0.00734332
54,23713.2,0.62552,2.47602,0.89515,0.95872,0.95067,0.98081,0.89636,0.44508,1.3536,0.79921,0.00725094,0.00725094,0.00725094
55,25408.9,0.62412,2.47794,0.89477,0.95818,0.95144,0.98095,0.89698,0.44437,1.35117,0.79882,0.00715761,0.00715761,0.00715761
56,27112.2,0.6236,2.46879,0.89434,0.95765,0.95141,0.98097,0.897,0.44359,1.34884,0.79827,0.00706335,0.00706335,0.00706335
57,28804.9,0.62236,2.46675,0.89372,0.96282,0.94694,0.98099,0.89714,0.44291,1.34785,0.79783,0.0069682,0.0069682,0.0069682
58,30511.7,0.61974,2.45178,0.89402,0.9601,0.94906,0.98088,0.89753,0.44216,1.34387,0.79757,0.00687222,0.00687222,0.00687222
59,32211,0.61908,2.44721,0.89317,0.95899,0.94936,0.98079,0.89781,0.4421,1.33981,0.79728,0.00677543,0.00677543,0.00677543
60,33909.6,0.61729,2.44038,0.89197,0.95533,0.95202,0.98085,0.89791,0.44174,1.33923,0.79696,0.00667789,0.00667789,0.00667789
61,35602.8,0.616,2.42942,0.89159,0.95599,0.95225,0.9811,0.89818,0.44164,1.3373,0.79687,0.00657963,0.00657963,0.00657963
62,37297.9,0.61535,2.43742,0.89046,0.95615,0.95209,0.98127,0.89843,0.44131,1.33476,0.79665,0.00648071,0.00648071,0.00648071
63,38994.5,0.61436,2.42779,0.8913,0.95588,0.95307,0.98131,0.89855,0.44088,1.33265,0.79656,0.00638115,0.00638115,0.00638115
64,40693.7,0.61264,2.41495,0.88966,0.9541,0.95498,0.98119,0.89935,0.43987,1.32853,0.79623,0.00628101,0.00628101,0.00628101
65,42386.1,0.61284,2.41267,0.88966,0.9526,0.95587,0.98121,0.89932,0.43925,1.32855,0.79588,0.00618034,0.00618034,0.00618034
66,44084.9,0.61146,2.41339,0.89017,0.95207,0.95695,0.98122,0.89965,0.43899,1.32856,0.7957,0.00607916,0.00607916,0.00607916
67,45785.6,0.61017,2.39907,0.89012,0.953,0.9552,0.98126,0.89967,0.43828,1.32576,0.79557,0.00597754,0.00597754,0.00597754
68,47485.3,0.60759,2.39792,0.88822,0.95564,0.95288,0.98119,0.89963,0.43771,1.32342,0.79528,0.00587551,0.00587551,0.00587551
69,49182.2,0.60841,2.3922,0.88848,0.9564,0.95282,0.98124,0.90001,0.43727,1.32119,0.79521,0.00577311,0.00577311,0.00577311
70,50877.5,0.60625,2.38365,0.88726,0.95806,0.95249,0.98147,0.90049,0.43686,1.31883,0.79483,0.0056704,0.0056704,0.0056704
71,52573,0.60471,2.37177,0.8864,0.95846,0.95282,0.98161,0.90072,0.43662,1.31504,0.79456,0.00556742,0.00556742,0.00556742
72,54265.1,0.60361,2.37018,0.88586,0.95529,0.95607,0.98167,0.90088,0.43646,1.31507,0.79441,0.00546421,0.00546421,0.00546421
73,55952.3,0.60165,2.35837,0.88502,0.95794,0.95316,0.98174,0.90096,0.43629,1.3136,0.79396,0.00536081,0.00536081,0.00536081
74,57644.1,0.5997,2.3498,0.88557,0.95835,0.95316,0.98164,0.90136,0.43575,1.31189,0.79371,0.00525728,0.00525728,0.00525728
75,59339.4,0.59964,2.34979,0.88568,0.95659,0.95386,0.98162,0.9017,0.43472,1.31171,0.79357,0.00515366,0.00515366,0.00515366
76,61029.5,0.59726,2.33709,0.8843,0.95577,0.95571,0.9817,0.90184,0.43381,1.31008,0.7934,0.00505,0.00505,0.00505
77,62725.7,0.59667,2.33049,0.88426,0.95683,0.9534,0.98178,0.90225,0.43329,1.30941,0.79328,0.00494634,0.00494634,0.00494634
78,64419.1,0.59368,2.32235,0.88336,0.95583,0.95397,0.98179,0.9023,0.43245,1.30763,0.7929,0.00484272,0.00484272,0.00484272
79,66114.7,0.59225,2.31208,0.8822,0.9566,0.95319,0.98188,0.90265,0.43168,1.30479,0.79253,0.00473919,0.00473919,0.00473919
80,67810,0.59269,2.30834,0.88356,0.95677,0.95396,0.98196,0.90311,0.43053,1.30035,0.79239,0.00463579,0.00463579,0.00463579
81,69505.5,0.59111,2.30015,0.88162,0.95843,0.9532,0.98197,0.90301,0.42986,1.29842,0.79213,0.00453258,0.00453258,0.00453258
82,71201.9,0.58909,2.28757,0.8808,0.95862,0.95332,0.98203,0.90348,0.42952,1.29586,0.79181,0.0044296,0.0044296,0.0044296
83,72901.3,0.587,2.27771,0.8799,0.95801,0.95569,0.98209,0.90427,0.4297,1.29516,0.79169,0.00432689,0.00432689,0.00432689
84,74601.7,0.58655,2.27904,0.88099,0.95798,0.9554,0.98212,0.90405,0.43006,1.29168,0.7917,0.00422449,0.00422449,0.00422449
85,76293.7,0.5854,2.26829,0.88002,0.96012,0.95325,0.98231,0.90414,0.43046,1.29003,0.79168,0.00412246,0.00412246,0.00412246
86,77984.3,0.58404,2.2578,0.88053,0.95595,0.95884,0.98232,0.90434,0.43022,1.28978,0.79176,0.00402084,0.00402084,0.00402084
87,79678.7,0.58032,2.24189,0.87764,0.95675,0.95746,0.98236,0.90444,0.42996,1.2875,0.79148,0.00391966,0.00391966,0.00391966
88,81368,0.58034,2.23756,0.87899,0.95609,0.95724,0.98242,0.90398,0.42947,1.2862,0.79142,0.00381899,0.00381899,0.00381899
89,83062.2,0.57804,2.23157,0.87851,0.9588,0.95554,0.98236,0.90412,0.42862,1.2826,0.79123,0.00371885,0.00371885,0.00371885
